datetime_ist,open,high,low,close
2026-03-24 14:09:00+05:30,22965.349609375,22965.349609375,22965.349609375,22965.349609375
2026-03-24 14:10:00+05:30,22975.69921875,22975.69921875,22975.69921875,22975.69921875
2026-03-24 14:11:00+05:30,22990.94921875,22990.94921875,22990.94921875,22990.94921875
2026-03-24 14:12:00+05:30,22975.55078125,22975.55078125,22975.55078125,22975.55078125
2026-03-24 14:13:00+05:30,22975.599609375,22975.599609375,22975.599609375,22975.599609375
2026-03-24 14:14:00+05:30,22989.19921875,22989.19921875,22989.19921875,22989.19921875
2026-03-24 14:15:00+05:30,23004.349609375,23004.349609375,23004.349609375,23004.349609375
2026-03-24 14:16:00+05:30,23013.25,23013.25,23013.25,23013.25
2026-03-24 14:17:00+05:30,23010.900390625,23010.900390625,23010.900390625,23010.900390625
2026-03-24 14:18:00+05:30,23013.349609375,23013.349609375,23013.349609375,23013.349609375
2026-03-24 14:19:00+05:30,22983.599609375,22983.599609375,22983.599609375,22983.599609375
2026-03-24 14:20:00+05:30,22989.0,22989.0,22989.0,22989.0
2026-03-24 14:21:00+05:30,22939.69921875,22939.69921875,22939.69921875,22939.69921875
2026-03-24 14:22:00+05:30,22947.650390625,22947.650390625,22947.650390625,22947.650390625
2026-03-24 14:23:00+05:30,22965.05078125,22965.05078125,22965.05078125,22965.05078125
2026-03-24 14:24:00+05:30,22960.0,22960.0,22960.0,22960.0
2026-03-24 14:25:00+05:30,22960.55078125,22960.55078125,22960.55078125,22960.55078125
2026-03-24 14:26:00+05:30,22933.94921875,22933.94921875,22933.94921875,22933.94921875
2026-03-24 14:27:00+05:30,22935.05078125,22935.05078125,22935.05078125,22935.05078125
2026-03-24 14:28:00+05:30,22950.400390625,22950.400390625,22950.400390625,22950.400390625
2026-03-24 14:29:00+05:30,22950.150390625,22950.150390625,22950.150390625,22950.150390625
2026-03-24 14:30:00+05:30,22933.30078125,22933.30078125,22933.30078125,22933.30078125
2026-03-24 14:31:00+05:30,22939.900390625,22939.900390625,22939.900390625,22939.900390625
2026-03-24 14:32:00+05:30,22953.55078125,22953.55078125,22953.55078125,22953.55078125
2026-03-24 14:33:00+05:30,22943.5,22943.5,22943.5,22943.5
2026-03-24 14:34:00+05:30,22947.5,22947.5,22947.5,22947.5
2026-03-24 14:35:00+05:30,22947.05078125,22947.05078125,22947.05078125,22947.05078125
2026-03-24 14:36:00+05:30,22933.900390625,22933.900390625,22933.900390625,22933.900390625
2026-03-24 14:37:00+05:30,22934.19921875,22942.05078125,22893.69921875,22895.400390625
2026-03-24 14:39:00+05:30,22898.19921875,22898.19921875,22898.19921875,22898.19921875
2026-03-24 14:40:00+05:30,22897.150390625,22897.150390625,22897.150390625,22897.150390625
2026-03-24 14:41:00+05:30,22897.849609375,22897.849609375,22897.849609375,22897.849609375
2026-03-24 14:42:00+05:30,22900.599609375,22900.599609375,22900.599609375,22900.599609375
2026-03-24 14:43:00+05:30,22909.30078125,22909.30078125,22909.30078125,22909.30078125
2026-03-24 14:44:00+05:30,22911.650390625,22911.650390625,22911.650390625,22911.650390625
2026-03-24 14:45:00+05:30,22913.5,22913.5,22913.5,22913.5
2026-03-24 14:46:00+05:30,22911.0,22911.0,22911.0,22911.0
2026-03-24 14:47:00+05:30,22911.69921875,22911.69921875,22911.69921875,22911.69921875
2026-03-24 14:48:00+05:30,22913.150390625,22913.150390625,22913.150390625,22913.150390625
2026-03-24 14:49:00+05:30,22913.349609375,22913.349609375,22913.349609375,22913.349609375
2026-03-24 14:50:00+05:30,22909.900390625,22909.900390625,22909.900390625,22909.900390625
2026-03-24 14:51:00+05:30,22902.44921875,22902.44921875,22902.44921875,22902.44921875
2026-03-24 14:52:00+05:30,22906.599609375,22906.599609375,22906.599609375,22906.599609375
2026-03-24 14:53:00+05:30,22901.5,22901.5,22901.5,22901.5
2026-03-24 14:54:00+05:30,22885.5,22885.5,22885.5,22885.5
2026-03-24 14:55:00+05:30,22905.30078125,22905.30078125,22905.30078125,22905.30078125
